epsilon,original,privado
0.015,-18.733795032751093,-18.887554591633293
0.020,-18.733795032751093,-18.849114701912743
0.025,-18.733795032751093,-18.826050768080414
0.030,-18.733795032751093,-18.810674812192193
0.035,-18.733795032751093,-18.79969198655775
0.040,-18.733795032751093,-18.791454867331918
0.045,-18.733795032751093,-18.78504821904516
0.050,-18.733795032751093,-18.779922900415755
0.055,-18.733795032751093,-18.775729457900784
0.060,-18.733795032751093,-18.772234922471643
0.065,-18.733795032751093,-18.769278007877755
0.070,-18.733795032751093,-18.76674350965442
0.075,-18.733795032751093,-18.764546944527535
0.080,-18.733795032751093,-18.762624950041506
0.085,-18.733795032751093,-18.760929072553836
0.090,-18.733795032751093,-18.759421625898128
0.095,-18.733795032751093,-18.758072857837757
0.100,-18.733795032751093,-18.756858966583422
0.005,-16.936579418789808,-17.340198260854628
0.010,-16.936579418789808,-17.138388839822216
0.015,-16.936579418789808,-17.071119032811414
0.020,-16.936579418789808,-17.037484129306012
0.025,-16.936579418789808,-17.01730318720277
0.030,-16.936579418789808,-17.00384922580061
0.035,-16.936579418789808,-16.9942392533705
0.040,-16.936579418789808,-16.98703177404791
0.045,-16.936579418789808,-16.98142595679701
0.050,-16.936579418789808,-16.97694130299629
0.055,-16.936579418789808,-16.973272040795703
0.060,-16.936579418789808,-16.97021432229521
0.065,-16.936579418789808,-16.967627022025564
0.070,-16.936579418789808,-16.965409336080153
0.075,-16.936579418789808,-16.963487341594128
0.080,-16.936579418789808,-16.96180559641886
0.085,-16.936579418789808,-16.96032170361715
0.090,-16.936579418789808,-16.959002687793408
0.095,-16.936579418789808,-16.957822515740588
0.100,-16.936579418789808,-16.95676036089305
0.005,-13.210026189127973,-13.568798493186016
0.010,-13.210026189127973,-13.389412341156994
0.015,-13.210026189127973,-13.329616957147321
0.020,-13.210026189127973,-13.299719265142484
0.025,-13.210026189127973,-13.28178064993958
0.030,-13.210026189127973,-13.269821573137646
0.035,-13.210026189127973,-13.26127937542198
0.040,-13.210026189127973,-13.25487272713523
0.045,-13.210026189127973,-13.249889778467756
0.050,-13.210026189127973,-13.245903419533777
0.055,-13.210026189127973,-13.24264185313325
0.060,-13.210026189127973,-13.23992388113281
0.065,-13.210026189127973,-13.2376240586709
0.070,-13.210026189127973,-13.235652782274975
0.075,-13.210026189127973,-13.233944342731842
0.080,-13.210026189127973,-13.232449458131601
0.085,-13.210026189127973,-13.231130442307858
0.090,-13.210026189127973,-13.229957983797863
0.095,-13.210026189127973,-13.228908941973133
0.100,-13.210026189127973,-13.227964804330876
0.005,-12.532552083333334,-12.819569926579641
0.010,-12.532552083333334,-12.676061004956487
0.015,-12.532552083333334,-12.62822469774877
0.020,-12.532552083333334,-12.60430654414491
0.025,-12.532552083333334,-12.589955651982596
0.030,-12.532552083333334,-12.580388390541051
0.035,-12.532552083333334,-12.57355463236852
0.040,-12.532552083333334,-12.568429313739122
0.045,-12.532552083333334,-12.564442954805147
0.050,-12.532552083333334,-12.561253867657964
0.055,-12.532552083333334,-12.558644614537544
0.060,-12.532552083333334,-12.556470236937193
0.065,-12.532552083333334,-12.554630378967666
0.070,-12.532552083333334,-12.553053357850928
0.075,-12.532552083333334,-12.551686606216421
0.080,-12.532552083333334,-12.550490698536228
0.085,-12.532552083333334,-12.549435485877234
0.090,-12.532552083333334,-12.54849751906924
0.095,-12.532552083333334,-12.547658285609455
0.100,-12.532552083333334,-12.54690297549565
0.005,-12.418091838507877,-12.744248478560877
0.010,-12.418091838507877,-12.581170158534377
0.015,-12.418091838507877,-12.526810718525544
0.020,-12.418091838507877,-12.499630998521127
0.025,-12.418091838507877,-12.483323166518478
0.030,-12.418091838507877,-12.47245127851671
0.035,-12.418091838507877,-12.464685644229734
0.040,-12.418091838507877,-12.458861418514502
0.045,-12.418091838507877,-12.454331465180433
0.050,-12.418091838507877,-12.450707502513177
0.055,-12.418091838507877,-12.447742442149059
0.060,-12.418091838507877,-12.445271558512294
0.065,-12.418091838507877,-12.443180810819646
0.070,-12.418091838507877,-12.441388741368806
0.075,-12.418091838507877,-12.43983561451141
0.080,-12.418091838507877,-12.43847662851119
0.085,-12.418091838507877,-12.437277523216878
0.090,-12.418091838507877,-12.436211651844154
0.095,-12.418091838507877,-12.435257977458035
0.100,-12.418091838507877,-12.434399670510526
0.005,-14.121989831138487,-14.3910690591817
0.010,-14.121989831138487,-14.256529445160094
0.015,-14.121989831138487,-14.211682907152891
0.020,-14.121989831138487,-14.18925963814929
0.025,-14.121989831138487,-14.17580567674713
0.030,-14.121989831138487,-14.16683636914569
0.035,-14.121989831138487,-14.160429720858946
0.040,-14.121989831138487,-14.155624734643888
0.045,-14.121989831138487,-14.151887523143289
0.050,-14.121989831138487,-14.148897753942808
0.055,-14.121989831138487,-14.146451579142415
0.060,-14.121989831138487,-14.144413100142089
0.065,-14.121989831138487,-14.142688233295658
0.070,-14.121989831138487,-14.141209775998716
0.075,-14.121989831138487,-14.139928446341369
0.080,-14.121989831138487,-14.138807282891188
0.085,-14.121989831138487,-14.137818021023381
0.090,-14.121989831138487,-14.136938677140888
0.095,-14.121989831138487,-14.13615189577234
0.100,-14.121989831138487,-14.135443792540647
0.005,-16.377527573529413,-16.33854417898522
0.010,-16.377527573529413,-16.358035876257315
0.015,-16.377527573529413,-16.36453310868135
0.020,-16.377527573529413,-16.367781724893366
0.025,-16.377527573529413,-16.369730894620574
0.030,-16.377527573529413,-16.37103034110538
0.035,-16.377527573529413,-16.371958517165957
0.040,-16.377527573529413,-16.372654649211388
0.045,-16.377527573529413,-16.373196085246725
0.050,-16.377527573529413,-16.373629234074993
0.055,-16.377527573529413,-16.37398362857085
0.060,-16.377527573529413,-16.374278957317397
0.065,-16.377527573529413,-16.374528850872167
0.070,-16.377527573529413,-16.374743045347685
0.075,-16.377527573529413,-16.3749286805598
0.080,-16.377527573529413,-16.375091111370402
0.085,-16.377527573529413,-16.37523443267387
0.090,-16.377527573529413,-16.37536182938807
0.095,-16.377527573529413,-16.375475815921824
0.100,-16.377527573529413,-16.375578403802205
0.005,-17.247459372723963,-17.215282602623997
0.010,-17.247459372723963,-17.23137098767398
0.015,-17.247459372723963,-17.236733782690642
0.020,-17.247459372723963,-17.23941518019897
0.025,-17.247459372723963,-17.24102401870397
0.030,-17.247459372723963,-17.2420965777073
0.035,-17.247459372723963,-17.24286269128111
0.040,-17.247459372723963,-17.243437276461467
0.045,-17.247459372723963,-17.24388417604619
0.050,-17.247459372723963,-17.244241695713967
0.055,-17.247459372723963,-17.244534211805785
0.060,-17.247459372723963,-17.244777975215634
0.065,-17.247459372723963,-17.244984236562427
0.070,-17.247459372723963,-17.245161032002535
0.075,-17.247459372723963,-17.2453142547173
0.080,-17.247459372723963,-17.245448324592715
0.085,-17.247459372723963,-17.245566621541613
0.090,-17.247459372723963,-17.245671774385077
0.095,-17.247459372723963,-17.245765858508175
0.100,-17.247459372723963,-17.245850534218963
0.005,-15.353275301665533,-15.31573573654894
0.010,-15.353275301665533,-15.334505519107235
0.015,-15.353275301665533,-15.340762113293335
0.020,-15.353275301665533,-15.343890410386384
0.025,-15.353275301665533,-15.345767388642214
0.030,-15.353275301665533,-15.347018707479434
0.035,-15.353275301665533,-15.347912506648877
0.040,-15.353275301665533,-15.34858285602596
0.045,-15.353275301665533,-15.349104238874801
0.050,-15.353275301665533,-15.349521345153875
0.055,-15.353275301665533,-15.34986261392766
0.060,-15.353275301665533,-15.350147004572484
0.065,-15.353275301665533,-15.35038764281041
0.070,-15.353275301665533,-15.350593904157206
0.075,-15.353275301665533,-15.350772663991094
0.080,-15.353275301665533,-15.350929078845747
0.085,-15.353275301665533,-15.351067091952793
0.090,-15.353275301665533,-15.351189770270167
0.095,-15.353275301665533,-15.35129953508045
0.100,-15.353275301665533,-15.351398323409704
0.005,-14.775969467017209,-14.744295458950063
0.010,-14.775969467017209,-14.760132462983636
0.015,-14.775969467017209,-14.76541146432816
0.020,-14.775969467017209,-14.768050965000423
0.025,-14.775969467017209,-14.76963466540378
0.030,-14.775969467017209,-14.770690465672685
0.035,-14.775969467017209,-14.771444608721902
0.040,-14.775969467017209,-14.772010216008816
0.045,-14.775969467017209,-14.772450132787526
0.050,-14.775969467017209,-14.772802066210494
0.055,-14.775969467017209,-14.773090011738377
0.060,-14.775969467017209,-14.773329966344948
0.065,-14.775969467017209,-14.773533004858198
0.070,-14.775969467017209,-14.773707037869556
0.075,-14.775969467017209,-14.7738578664794
0.080,-14.775969467017209,-14.773989841513012
0.085,-14.775969467017209,-14.774106290072083
0.090,-14.775969467017209,-14.774209799902367
0.095,-14.775969467017209,-14.774302413961044
0.100,-14.775969467017209,-14.774385766613852
0.005,-15.02922071835633,-14.999409887234204
0.010,-15.02922071835633,-15.014315302795266
0.015,-15.02922071835633,-15.019283774648954
0.020,-15.02922071835633,-15.021768010575798
0.025,-15.02922071835633,-15.023258552131905
0.030,-15.02922071835633,-15.024252246502641
0.035,-15.02922071835633,-15.024962028196025
0.040,-15.02922071835633,-15.025494364466065
0.045,-15.02922071835633,-15.025908403787204
0.050,-15.02922071835633,-15.026239635244117
0.055,-15.02922071835633,-15.026510642799773
0.060,-15.02922071835633,-15.026736482429486
0.065,-15.02922071835633,-15.026927577500782
0.070,-15.02922071835633,-15.027091373276178
