epsilon,original,privado
0.020,-18.733795032751093,-18.8819810158642
0.025,-18.733795032751093,-18.695060238130104
0.030,-18.733795032751093,-18.701516037233603
0.035,-18.733795032751093,-18.809256482577126
0.040,-18.733795032751093,-18.79982380134887
0.045,-18.733795032751093,-18.755154873724866
0.050,-18.733795032751093,-18.753018889627487
0.055,-18.733795032751093,-18.768581376515588
0.060,-18.733795032751093,-18.765682514535214
0.065,-18.733795032751093,-18.737189652445707
0.070,-18.733795032751093,-18.73694717961038
0.075,-18.733795032751093,-18.679739699171623
0.080,-18.733795032751093,-18.68311815752034
0.085,-18.733795032751093,-18.722447079525733
0.090,-18.733795032751093,-18.723077521371586
0.095,-18.733795032751093,-18.73812291767779
0.100,-18.733795032751093,-18.73790652343145
0.005,-16.936579418789808,-17.394566771743488
0.010,-16.936579418789808,-17.165573095266648
0.015,-16.936579418789808,-16.919080453420783
0.020,-16.936579418789808,-16.92345519476304
0.025,-16.936579418789808,-17.006822229996157
0.030,-16.936579418789808,-16.9951150947951
0.035,-16.936579418789808,-16.90551916333866
0.040,-16.936579418789808,-16.909401695270052
0.045,-16.936579418789808,-16.931838891515604
0.050,-16.936579418789808,-16.932312944243023
0.055,-16.936579418789808,-16.960354210197117
0.060,-16.936579418789808,-16.95837297757984
0.065,-16.936579418789808,-16.928143922421196
0.070,-16.936579418789808,-16.928746457876095
0.075,-16.936579418789808,-16.958743361920654
0.080,-16.936579418789808,-16.957358115474975
0.085,-16.936579418789808,-16.89556005908204
0.090,-16.936579418789808,-16.897838912399138
0.095,-16.936579418789808,-16.92808257261072
0.100,-16.936579418789808,-16.928507414919675
0.005,-13.210026189127973,-13.110910125378366
0.010,-13.210026189127973,-13.16046815725317
0.015,-13.210026189127973,-13.220701219050929
0.020,-13.210026189127973,-13.21803246157019
0.025,-13.210026189127973,-13.146398551278319
0.030,-13.210026189127973,-13.157003157586594
0.035,-13.210026189127973,-13.247450842620268
0.040,-13.210026189127973,-13.24277276093373
0.045,-13.210026189127973,-13.174521476605843
0.050,-13.210026189127973,-13.178071947858056
0.055,-13.210026189127973,-13.150043664236607
0.060,-13.210026189127973,-13.155042207977555
0.065,-13.210026189127973,-13.155200409158171
0.070,-13.210026189127973,-13.159116536298871
0.075,-13.210026189127973,-13.218713365687504
0.080,-13.210026189127973,-13.218170417152534
0.085,-13.210026189127973,-13.237018691487798
0.090,-13.210026189127973,-13.235519108023363
0.095,-13.210026189127973,-13.24110514502443
0.100,-13.210026189127973,-13.239551197229607
0.005,-12.532552083333334,-12.281542302078153
0.010,-12.532552083333334,-12.407047192705743
0.015,-12.532552083333334,-12.439133681608105
0.020,-12.532552083333334,-12.462488282039411
0.025,-12.532552083333334,-12.494278552657148
0.030,-12.532552083333334,-12.500657474436512
0.035,-12.532552083333334,-12.575755291970031
0.040,-12.532552083333334,-12.570354890890444
0.045,-12.532552083333334,-12.495642887301543
0.050,-12.532552083333334,-12.49933380690472
0.055,-12.532552083333334,-12.581001038529374
0.060,-12.532552083333334,-12.57696362559637
0.065,-12.532552083333334,-12.53631471633906
0.070,-12.532552083333334,-12.53604595683865
0.075,-12.532552083333334,-12.536220501155968
0.080,-12.532552083333334,-12.535991225042054
0.085,-12.532552083333334,-12.530573050505794
0.090,-12.532552083333334,-12.53068299677399
0.095,-12.532552083333334,-12.527213408206768
0.100,-12.532552083333334,-12.527480341963097
0.005,-12.418091838507877,-12.12444396525058
0.010,-12.418091838507877,-12.271267901879229
0.015,-12.418091838507877,-12.456553579619806
0.020,-12.418091838507877,-12.446938144341823
0.025,-12.418091838507877,-12.430493496254886
0.030,-12.418091838507877,-12.428426553297053
0.035,-12.418091838507877,-12.41259081964076
0.040,-12.418091838507877,-12.41327844699915
0.045,-12.418091838507877,-12.412037671912978
0.050,-12.418091838507877,-12.412643088572468
0.055,-12.418091838507877,-12.423293227214005
0.060,-12.418091838507877,-12.422859778155162
0.065,-12.418091838507877,-12.433715372448384
0.070,-12.418091838507877,-12.43259940573835
0.075,-12.418091838507877,-12.436496643141485
0.080,-12.418091838507877,-12.435346342851885
0.085,-12.418091838507877,-12.406794274414143
0.090,-12.418091838507877,-12.407421916863795
0.095,-12.418091838507877,-12.422781431967604
0.100,-12.418091838507877,-12.422546952294617
0.005,-14.121989831138487,-13.788182006505775
0.010,-14.121989831138487,-13.955085918822132
0.015,-14.121989831138487,-14.028577204198895
0.020,-14.121989831138487,-14.051930360933794
0.025,-14.121989831138487,-14.113519411511646
0.030,-14.121989831138487,-14.109720132815914
0.035,-14.121989831138487,-14.111472946861996
0.040,-14.121989831138487,-14.093122035059231
0.045,-14.121989831138487,-14.096329567956925
0.050,-14.121989831138487,-14.111430734669336
0.055,-14.121989831138487,-14.112390652530168
0.060,-14.121989831138487,-14.127012741290264
0.065,-14.121989831138487,-14.126626363586281
0.070,-14.121989831138487,-14.11232549475871
0.075,-14.121989831138487,-14.112969783850696
0.080,-14.121989831138487,-14.117205107422683
0.085,-14.121989831138487,-14.117486561758906
0.090,-14.121989831138487,-14.121542262233564
0.095,-14.121989831138487,-14.121565818491717
0.100,-14.121989831138487,-14.121827865746663
0.005,-16.377527573529413,-16.374163676929996
0.010,-16.377527573529413,-16.39423390346159
0.015,-16.377527573529413,-16.388665126817532
0.020,-16.377527573529413,-16.343711102690964
0.025,-16.377527573529413,-16.350474396858655
0.030,-16.377527573529413,-16.42491464284537
0.035,-16.377527573529413,-16.41814506151452
0.040,-16.377527573529413,-16.380310254274704
0.045,-16.377527573529413,-16.380001067525225
0.050,-16.377527573529413,-16.37449982849774
0.055,-16.377527573529413,-16.374775078046074
0.060,-16.377527573529413,-16.36716793196784
0.065,-16.377527573529413,-16.367964827472573
0.070,-16.377527573529413,-16.379781590240125
0.075,-16.377527573529413,-16.37963132245941
0.080,-16.377527573529413,-16.376473320343962
0.085,-16.377527573529413,-16.376535335237225
0.090,-16.377527573529413,-16.388983148272867
0.095,-16.377527573529413,-16.38838022328637
0.100,-16.377527573529413,-16.377955247932906
0.005,-17.247459372723963,-17.255401897360294
0.010,-17.247459372723963,-17.218153417199346
0.015,-17.247459372723963,-17.227922069040886
0.020,-17.247459372723963,-17.255947447053874
0.025,-17.247459372723963,-17.25424983218789
0.030,-17.247459372723963,-17.317144332560986
0.035,-17.247459372723963,-17.307189338298556
0.040,-17.247459372723963,-17.23142059106881
0.045,-17.247459372723963,-17.233202677919387
0.050,-17.247459372723963,-17.228335293684417
0.055,-17.247459372723963,-17.230073846324373
0.060,-17.247459372723963,-17.233268778692878
0.065,-17.247459372723963,-17.234360362849117
0.070,-17.247459372723963,-17.25904439093339
0.075,-17.247459372723963,-17.258272056386097
0.080,-17.247459372723963,-17.253050837262876
0.085,-17.247459372723963,-17.252721927584115
0.090,-17.247459372723963,-17.243855523082154
0.095,-17.247459372723963,-17.24404519937909
0.100,-17.247459372723963,-17.241575920434716
0.005,-15.353275301665533,-15.243450858933173
0.010,-15.353275301665533,-15.365860763304996
0.015,-15.353275301665533,-15.361665609425174
0.020,-15.353275301665533,-15.363533586831862
0.025,-15.353275301665533,-15.361481929798597
0.030,-15.353275301665533,-15.358664895879095
0.035,-15.353275301665533,-15.357894953848586
0.040,-15.353275301665533,-15.348042157777535
0.045,-15.353275301665533,-15.348623618209535
0.050,-15.353275301665533,-15.378250519222144
0.055,-15.353275301665533,-15.375980044898816
0.060,-15.353275301665533,-15.346783724275593
0.065,-15.353275301665533,-15.347283076382512
0.070,-15.353275301665533,-15.371660492635208
0.075,-15.353275301665533,-15.37043481323723
0.080,-15.353275301665533,-15.354169021036427
0.085,-15.353275301665533,-15.354116449308728
0.090,-15.353275301665533,-15.354111151893747
0.095,-15.353275301665533,-15.354067159776472
0.100,-15.353275301665533,-15.346994991540365
0.005,-14.775969467017209,-14.6582136521703
0.010,-14.775969467017209,-14.762755200720083
0.015,-14.775969467017209,-14.767159956152458
