respiration,timestamp
-3.3203125,112755.578
-3.7109375,112755.594
-4.00390625,112755.599
-4.296875,112755.605
-4.58984375,112755.624
-4.8828125,112755.629
-5.17578125,112755.639
-5.56640625,112755.647
-5.76171875,112755.652
-6.0546875,112755.669
-6.25,112755.675
-6.54296875,112755.691
-6.73828125,112755.698
-6.93359375,112755.705
-7.12890625,112755.721
-7.32421875,112755.728
-7.51953125,112755.744
-7.71484375,112755.754
-7.8125,112755.764
-7.91015625,112755.774
-7.91015625,112755.780
-8.0078125,112755.789
-8.0078125,112755.800
-8.0078125,112755.811
-8.0078125,112755.819
-8.0078125,112755.824
-8.0078125,112755.842
-8.203125,112755.849
-8.30078125,112755.856
-8.49609375,112755.871
-8.69140625,112755.877
-8.88671875,112755.894
-9.08203125,112755.898
-9.375,112755.903
-9.5703125,112755.924
-9.765625,112755.929
-9.9609375,112755.939
-10.15625,112755.945
-10.3515625,112755.950
-10.546875,112755.968
-10.64453125,112755.977
-10.83984375,112755.991
-11.03515625,112755.997
-11.1328125,112756.01
-11.328125,112756.21
-11.42578125,112756.59
-11.71875,112756.66
-11.81640625,112756.71
-12.01171875,112756.81
-12.20703125,112756.92
-12.40234375,112756.103
-12.59765625,112756.115
-12.79296875,112756.121
-13.0859375,112756.126
-13.28125,112756.133
-13.37890625,112756.138
-13.671875,112756.147
-13.8671875,112756.155
-14.16015625,112756.162
-14.453125,112756.171
-14.6484375,112756.176
-14.94140625,112756.193
-15.234375,112756.200
-15.4296875,112756.205
-15.625,112756.224
-16.015625,112756.228
-16.30859375,112756.238
-16.6015625,112756.245
-16.89453125,112756.251
-17.28515625,112756.269
-17.48046875,112756.273
-17.7734375,112756.291
-17.96875,112756.298
-18.1640625,112756.303
-18.359375,112756.321
-18.45703125,112756.327
-18.65234375,112756.344
-18.75,112756.349
-18.84765625,112756.356
-18.84765625,112756.374
-18.84765625,112756.381
-18.84765625,112756.389
-18.84765625,112756.393
-18.84765625,112756.402
-18.65234375,112756.419
-18.5546875,112756.425
-18.45703125,112756.441
-18.359375,112756.448
-18.26171875,112756.453
-18.359375,112756.471
-18.359375,112756.477
-18.45703125,112756.494
