,Tempo,Memoria Utilizada (%),CPU Utilizada (%)
123,123,56.89905346808618,36.2
124,124,56.952200981963585,40.2
125,125,56.844218731546,42.2
126,126,56.923940002362116,38.9
127,127,56.76576287772698,35.0
128,128,56.725691339486076,35.2
129,129,56.793180245997064,35.1
130,130,56.76871551738682,36.8
131,131,56.8712142941504,35.3
132,132,56.870370682819015,33.7
133,133,56.823128448261315,33.9
134,134,56.7640756550642,34.2
135,135,56.80920886129343,33.4
136,136,56.90074069074896,36.4
137,137,56.81427052928175,41.3
138,138,56.84337512021461,41.8
139,139,56.92984528168182,37.0
140,140,56.79444566299414,33.2
141,141,56.8712142941504,33.3
142,142,56.896522634092015,35.5
143,143,56.96232431794024,34.3
144,144,56.985101823887696,34.9
145,145,56.92267458536503,36.1
146,146,56.880072213129964,35.8
147,147,56.84210970321754,34.6
148,148,56.895257217094944,34.4
149,149,56.872479711147484,35.9
150,150,56.815957751944524,42.6
151,151,56.82017580860146,39.2
152,152,56.82017580860146,37.1
153,153,56.79444566299414,34.1
154,154,56.79444566299414,34.9
155,155,56.79444566299414,34.8
156,156,56.870370682819015,34.9
157,157,56.81216150095329,34.6
158,158,56.875854156473025,34.8
159,159,56.8446405372117,34.9
160,160,56.898209856754804,34.4
161,161,56.85560748451973,34.4
162,162,56.789383995005814,38.8
163,163,56.848858593868634,41.6
164,164,56.84632775987447,39.2
165,165,56.9112858323913,35.5
166,166,56.81806678027299,34.9
167,167,56.73581467546273,35.4
168,168,56.75901398707588,34.6
169,169,56.8446405372117,33.6
170,170,56.84210970321754,36.1
171,171,56.823128448261315,33.4
172,172,56.868261654490546,35.8
173,173,56.90074069074896,34.3
174,174,57.00113043918405,35.3
175,175,56.997334188192816,41.9
176,176,56.92267458536503,42.4
177,177,56.876697767804416,38.0
178,178,56.76998093438391,33.3
179,179,56.84337512021461,33.3
180,180,56.82059761426716,33.8
181,181,56.71388078084665,36.4
182,182,56.84126609188615,34.0
183,183,56.95093556496651,34.4
184,184,56.94840473097235,35.3
185,185,56.97202584825119,33.8
186,186,56.91845652870809,33.9
187,187,56.81553594627883,34.6
188,188,56.84210970321754,41.5
189,189,56.943764868649716,41.3
190,190,56.92351819669642,40.0
191,191,56.866574431827765,34.9
192,192,56.842953314548915,35.3
193,193,56.95388820462637,34.0
194,194,56.8378916465606,34.9
195,195,56.82987733891242,35.1
196,196,56.83704803522921,35.1
197,197,56.920987362702256,34.9
198,198,56.91634750037963,35.9
199,199,56.89399180009785,36.0
