epsilon,avg,avg_DP
0.800,-8.328263880195292,-8.328651979363926
0.850,-8.328263880195292,-8.328629150001065
0.900,-8.328263880195292,-8.328608857234078
0.950,-8.328263880195292,-8.328590700547826
1.000,-8.328263880195292,-8.328574359530199
0.050,-7.829167292668269,-7.832479072240622
0.010,-7.829167292668269,-7.8457261905300335
0.150,-7.829167292668269,-7.830271219192387
0.200,-7.829167292668269,-7.8299952375613575
0.250,-7.829167292668269,-7.82982964858274
0.300,-7.829167292668269,-7.829719255930328
0.350,-7.829167292668269,-7.829640404035748
0.400,-7.829167292668269,-7.829581265114813
0.450,-7.829167292668269,-7.829535268176309
0.500,-7.829167292668269,-7.829498470625505
0.550,-7.829167292668269,-7.829468363538483
0.600,-7.829167292668269,-7.829443274299298
0.650,-7.829167292668269,-7.829422044943065
0.700,-7.829167292668269,-7.829403848352008
0.750,-7.829167292668269,-7.829388077973093
0.800,-7.829167292668269,-7.8293742788915415
0.850,-7.829167292668269,-7.8293621032313485
0.900,-7.829167292668269,-7.829351280422289
0.950,-7.829167292668269,-7.829341596856287
1.000,-7.829167292668269,-7.829332881646887
0.050,-7.364259442821369,-7.367019259131671
0.010,-7.364259442821369,-7.3780585243728805
0.150,-7.364259442821369,-7.365179381591469
0.200,-7.364259442821369,-7.364949396898944
0.250,-7.364259442821369,-7.364811406083429
0.300,-7.364259442821369,-7.364719412206419
0.350,-7.364259442821369,-7.364653702294269
0.400,-7.364259442821369,-7.364604419860156
0.450,-7.364259442821369,-7.364566089078068
0.500,-7.364259442821369,-7.364535424452399
0.550,-7.364259442821369,-7.364510335213215
0.600,-7.364259442821369,-7.3644894275138935
0.650,-7.364259442821369,-7.3644717363837
0.700,-7.364259442821369,-7.364456572557819
0.750,-7.364259442821369,-7.364443430575388
0.800,-7.364259442821369,-7.3644319313407625
0.850,-7.364259442821369,-7.364421784957269
0.900,-7.364259442821369,-7.3644127659497185
0.950,-7.364259442821369,-7.364404696311384
1.000,-7.364259442821369,-7.364397433636884
0.050,-6.853937106468231,-6.857091182251424
0.010,-6.853937106468231,-6.8697074853841995
0.150,-6.853937106468231,-6.854988465062629
0.200,-6.853937106468231,-6.854725625414029
0.250,-6.853937106468231,-6.854567921624869
0.300,-6.853937106468231,-6.8544627857654294
0.350,-6.853937106468231,-6.854387688722973
0.400,-6.853937106468231,-6.85433136594113
0.450,-6.853937106468231,-6.85428755933303
0.500,-6.853937106468231,-6.85425251404655
0.550,-6.853937106468231,-6.85422384063034
0.600,-6.853937106468231,-6.854199946116831
0.650,-6.853937106468231,-6.854179727682323
0.700,-6.853937106468231,-6.854162397595601
0.750,-6.853937106468231,-6.85414737818711
0.800,-6.853937106468231,-6.854134236204681
0.850,-6.853937106468231,-6.85412264033783
0.900,-6.853937106468231,-6.85411233290063
0.950,-6.853937106468231,-6.85410311045682
1.000,-6.853937106468231,-6.854094810257391
0.050,-6.6280786297896315,-6.62802546896703
0.010,-6.6280786297896315,-6.627812825676622
0.150,-6.6280786297896315,-6.628060909515431
0.200,-6.6280786297896315,-6.628065339583981
0.250,-6.6280786297896315,-6.628067997625111
0.300,-6.6280786297896315,-6.628069769652531
0.350,-6.6280786297896315,-6.6280710353864025
0.400,-6.6280786297896315,-6.628071984686806
0.450,-6.6280786297896315,-6.628072723031565
0.500,-6.6280786297896315,-6.628073313707371
0.550,-6.6280786297896315,-6.628073796987577
0.600,-6.6280786297896315,-6.628074199721081
0.650,-6.6280786297896315,-6.628074540495585
0.700,-6.6280786297896315,-6.628074832588017
0.750,-6.6280786297896315,-6.628075085734792
0.800,-6.6280786297896315,-6.628075307238219
0.850,-6.6280786297896315,-6.628075502682419
0.900,-6.6280786297896315,-6.628075676410598
0.950,-6.6280786297896315,-6.6280758318516
1.000,-6.6280786297896315,-6.628075971748501
0.050,-6.722693642865093,-6.722618036361838
0.010,-6.722693642865093,-6.722315610348814
0.150,-6.722693642865093,-6.722668440697341
0.200,-6.722693642865093,-6.722674741239279
0.250,-6.722693642865093,-6.7226785215644425
0.300,-6.722693642865093,-6.722681041781217
0.350,-6.722693642865093,-6.722682841936057
0.400,-6.722693642865093,-6.722684192052186
0.450,-6.722693642865093,-6.722685242142509
0.500,-6.722693642865093,-6.722686082214768
0.550,-6.722693642865093,-6.722686769546615
0.600,-6.722693642865093,-6.722687342323155
0.650,-6.722693642865093,-6.722687826980227
0.700,-6.722693642865093,-6.722688242400575
0.750,-6.722693642865093,-6.722688602431543
0.800,-6.722693642865093,-6.7226889174586395
0.850,-6.722693642865093,-6.722689195423725
0.900,-6.722693642865093,-6.7226894425038015
0.950,-6.722693642865093,-6.722689663575448
1.000,-6.722693642865093,-6.72268986253993
0.050,-6.437446779202564,-6.43731919322832
0.010,-6.437446779202564,-6.436808849331344
0.150,-6.437446779202564,-6.437404250544483
0.200,-6.437446779202564,-6.437414882709003
0.250,-6.437446779202564,-6.437421262007716
0.300,-6.437446779202564,-6.4374255148735235
0.350,-6.437446779202564,-6.437428552634815
0.400,-6.437446779202564,-6.437430830955784
0.450,-6.437446779202564,-6.437432602983204
0.500,-6.437446779202564,-6.4374340206051395
0.550,-6.437446779202564,-6.437435180477633
0.600,-6.437446779202564,-6.437436147038044
0.650,-6.437446779202564,-6.437436964896853
0.700,-6.437446779202564,-6.43743766591869
0.750,-6.437446779202564,-6.437438273470948
0.800,-6.437446779202564,-6.437438805079174
0.850,-6.437446779202564,-6.437439274145256
0.900,-6.437446779202564,-6.437439691092884
0.950,-6.437446779202564,-6.437440064151288
1.000,-6.437446779202564,-6.437440399903852
